"","motivation","performance","phase"
"1",0.295949200136671,0.591898400273342,0
"2",0.409779160179052,0.819558320358104,0
"3",0.469684079938569,0.939368159877139,1
"4",0.34561114833899,0.69122229667798,1
"5",0.314145069805598,0.628290139611196,0
"6",0.422978593633584,0.845957187267169,0
"7",0.305735684839247,0.611471369678494,1
"8",0.604350430210435,1.20870086042087,0
"9",0.217450460010016,0.434900920020032,0
"10",0.450879220740011,0.901758441480023,0
"11",0.200367279326984,0.400734558653967,0
"12",0.350567708281208,0.701135416562417,1
"13",0.548433728415762,1.09686745683152,0
"14",0.512176857432144,1.02435371486429,1
"15",0.260013935190008,0.520027870380016,0
"16",0.252390196370545,0.504780392741091,0
"17",0.405810583974077,0.811621167948155,0
"18",0.304702336125374,0.609404672250747,0
"19",0.440577011482866,0.881154022965731,1
"20",0.30160615161048,0.603212303220961,0
"21",0.238987698403011,0.477975396806022,0
"22",0.356983123210317,0.713966246420635,0
"23",0.277578936720328,0.555157873440657,0
"24",0.50866419673221,1.01732839346442,0
"25",0.366519441961886,0.733038883923771,1
"26",0.396215929609995,0.79243185921999,0
"27",0.538059132989247,1.07611826597849,1
"28",0.585782124241692,1.17156424848338,0
"29",0.394704978218748,0.789409956437496,1
"30",0.433333620077998,0.866667240155996,1
"31",0.530909768203641,1.06181953640728,0
"32",0.382553775515335,0.76510755103067,0
"33",0.295637413489279,0.591274826978559,0
"34",0.499420036616155,0.998840073232309,1
"35",0.247536546037017,0.495073092074034,0
"36",0.375474687085019,0.750949374170037,0
"37",0.359784492217654,0.719568984435307,0
"38",0.34772556636323,0.695451132726461,0
"39",0.124639124585093,0.249278249170187,0
"40",0.341309975779267,0.682619951558534,0
"41",0.526631293072596,1.05326258614519,0
"42",0.353112934496672,0.706225868993344,0
"43",0.338095681479206,0.676191362958412,0
"44",0.333386051726153,0.666772103452306,0
"45",0.312526070629912,0.625052141259824,0
"46",0.4146021703841,0.8292043407682,1
"47",0.459278070808763,0.918556141617526,1
"48",0.544870575010661,1.08974115002132,0
"49",0.243390871149242,0.486781742298484,1
"50",0.439535333068367,0.879070666136733,0
"51",0.384676604003678,0.769353208007357,1
"52",0.428528601857232,0.857057203714464,1
"53",0.296828273157371,0.593656546314743,0
"54",0.404551141761145,0.80910228352229,0
"55",0.284638621286227,0.569277242572454,0
"56",0.465970327638786,0.931940655277573,0
"57",0.305381018326901,0.610762036653802,0
"58",0.406354727856791,0.812709455713582,1
"59",0.187276732307084,0.374553464614168,1
"60",0.432696686109308,0.865393372218615,0
"61",0.510772289770159,1.02154457954032,1
"62",0.47661628767749,0.953232575354979,1
"63",0.50536729823113,1.01073459646226,0
"64",0.264405720153851,0.528811440307702,0
"65",0.383069861342661,0.766139722685323,1
"66",0.393029901198159,0.786059802396317,0
"67",0.472019564869517,0.944039129739034,0
"68",0.383221812346144,0.766443624692288,0
"69",0.379672108398485,0.759344216796969,0
"70",0.567812825011243,1.13562565002249,1
"71",0.50909351280286,1.01818702560572,1
"72",0.224355537032822,0.448711074065644,0
"73",0.36153892070051,0.723077841401021,0
"74",0.300784181260217,0.601568362520433,0
"75",0.69715850332843,1.39431700665686,1
"76",0.35056654686537,0.701133093730739,1
"77",0.514803978343915,1.02960795668783,1
"78",0.409627124904589,0.819254249809178,1
"79",0.41088302101448,0.82176604202896,0
"80",0.449523694903772,0.899047389807545,1
"81",0.385735650233095,0.771471300466191,0
"82",0.483293699605956,0.966587399211911,0
"83",0.455982377348378,0.911964754696756,0
"84",0.231490405429249,0.462980810858498,0
"85",0.344438768741597,0.688877537483193,0
"86",0.34766468766894,0.695329375337881,0
"87",0.349389567366624,0.698779134733248,0
"88",0.506528488521985,1.01305697704397,1
"89",0.548702703437434,1.09740540687487,0
"90",0.307819905071293,0.615639810142587,0
"91",0.454143546570258,0.908287093140517,0
"92",0.283023207397017,0.566046414794034,0
"93",0.344291962331238,0.688583924662476,0
"94",0.429846554362813,0.859693108725625,1
"95",0.381107721088549,0.762215442177097,0
"96",0.331954979687724,0.663909959375447,1
"97",0.274255145826321,0.548510291652641,1
"98",0.368823346331318,0.737646692662636,0
"99",0.405249804576917,0.810499609153833,0
"100",0.4562233812465,0.912446762493,0
"101",0.312418317663747,0.624836635327494,0
"102",0.45867559627909,0.91735119255818,0
"103",0.283616042912843,0.567232085825685,0
"104",0.345388797792012,0.690777595584024,0
"105",0.445037716986858,0.890075433973716,0
"106",0.330748452581483,0.661496905162966,1
"107",0.322040389103467,0.644080778206934,0
"108",0.395266734007944,0.790533468015887,0
"109",0.403543456559178,0.807086913118356,0
"110",0.493448195873755,0.98689639174751,1
"111",0.376661397974429,0.753322795948857,0
"112",0.229921191700025,0.45984238340005,0
"113",0.334416190118641,0.668832380237282,0
"114",0.336952953165242,0.673905906330484,0
"115",0.306767241069602,0.613534482139205,0
"116",0.432190370221003,0.864380740442005,0
"117",0.650176509605978,1.30035301921196,0
"118",0.479416747142008,0.958833494284017,0
"119",0.384516044029372,0.769032088058744,0
"120",0.450366718407969,0.900733436815937,1
"121",0.544276824076692,1.08855364815338,0
"122",0.369073282282979,0.738146564565959,0
"123",0.466448047052591,0.932896094105182,1
"124",0.456189911645936,0.912379823291873,0
"125",0.387736517420495,0.77547303484099,0
"126",0.405654600663726,0.811309201327453,0
"127",0.465189100301244,0.930378200602488,1
"128",0.397376135700348,0.794752271400696,0
"129",0.366049100387673,0.732098200775346,0
"130",0.340601001991895,0.681202003983789,0
"131",0.429096207603689,0.858192415207378,1
"132",0.394497800229309,0.788995600458617,1
"133",0.362826172280659,0.725652344561318,1
"134",0.417658846965934,0.835317693931868,0
"135",0.322693307801002,0.645386615602005,1
"136",0.319758039165093,0.639516078330187,0
"137",0.537356613266313,1.07471322653263,1
"138",0.311864393731935,0.623728787463871,1
"139",0.431578806052738,0.863157612105476,0
"140",0.303161342136175,0.606322684272349,0
"141",0.376939035350457,0.753878070700914,0
"142",0.439036228213348,0.878072456426697,0
"143",0.299046321582136,0.598092643164272,0
"144",0.4595038671127,0.919007734225399,0
"145",0.421891522857555,0.843783045715111,0
"146",0.36833937093554,0.736678741871079,0
"147",0.424546654240252,0.849093308480504,0
"148",0.407504483526323,0.815008967052647,1
"149",0.316034996623093,0.632069993246187,1
"150",0.260293607979226,0.520587215958451,0
"151",0.410613176878206,0.821226353756413,0
"152",0.299527882990762,0.599055765981524,1
"153",0.396478001063528,0.792956002127056,0
"154",0.235192383451627,0.470384766903253,0
"155",0.307096751011246,0.614193502022492,0
